epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2799.61,0.93687,0.48424,0.81957,0.86153,0.77277,0.83404,0.37024,1.79364,0.86568,1.03855,0.00103329,0.00103329,0.00103329
85,2832.54,0.90999,0.46723,0.82303,0.84312,0.75609,0.82617,0.37359,1.77336,0.85914,1.02814,0.00102165,0.00102165,0.00102165
86,2865.49,0.93672,0.4784,0.81429,0.887,0.76602,0.84933,0.37789,1.77579,0.8315,1.02945,0.00101,0.00101,0.00101
87,2898.49,0.90052,0.47183,0.81415,0.86437,0.7754,0.84262,0.37824,1.79001,0.85107,1.02715,0.000998353,0.000998353,0.000998353
88,2931.43,0.88819,0.46761,0.81018,0.88038,0.76553,0.84057,0.38087,1.75734,0.85778,1.03259,0.000986706,0.000986706,0.000986706
89,2964.42,0.88451,0.46173,0.81525,0.89119,0.74018,0.83236,0.37658,1.7669,0.85952,1.02809,0.000975059,0.000975059,0.000975059
90,2997.38,0.91212,0.47008,0.81754,0.8392,0.78327,0.83329,0.37764,1.75122,0.86989,1.0226,0.000963412,0.000963412,0.000963412
91,3030.31,0.86567,0.44753,0.81468,0.88941,0.75433,0.84265,0.38025,1.75547,0.88351,1.0237,0.000951765,0.000951765,0.000951765
92,3063.26,0.85898,0.44533,0.81379,0.84003,0.79341,0.84686,0.37763,1.77904,0.83506,1.02959,0.000940118,0.000940118,0.000940118
93,3096.92,0.87662,0.45314,0.81431,0.85687,0.7891,0.83721,0.38129,1.76869,0.85966,1.02883,0.000928471,0.000928471,0.000928471
94,3130.15,0.87589,0.45994,0.81696,0.82657,0.79341,0.83668,0.3753,1.7641,0.87667,1.03233,0.000916824,0.000916824,0.000916824
95,3163.31,0.85825,0.44117,0.81323,0.86309,0.76046,0.82695,0.36572,1.79115,0.89949,1.04313,0.000905176,0.000905176,0.000905176
96,3196.48,0.87662,0.45835,0.81506,0.85497,0.77313,0.83277,0.36343,1.76699,0.84333,1.03567,0.000893529,0.000893529,0.000893529
97,3229.64,0.88291,0.45766,0.81232,0.87735,0.74525,0.83527,0.37584,1.76619,0.89033,1.03614,0.000881882,0.000881882,0.000881882
98,3262.86,0.87227,0.45605,0.81247,0.87218,0.76426,0.84253,0.38,1.76157,0.84848,1.02926,0.000870235,0.000870235,0.000870235
99,3296.01,0.84918,0.44445,0.81236,0.83738,0.79214,0.82942,0.37461,1.76208,0.84207,1.0316,0.000858588,0.000858588,0.000858588
100,3329.17,0.86023,0.45122,0.81289,0.87137,0.77186,0.84598,0.37625,1.80128,0.83731,1.04289,0.000846941,0.000846941,0.000846941
101,3362.32,0.85366,0.43879,0.81422,0.85609,0.76905,0.84093,0.37618,1.78703,0.87135,1.04036,0.000835294,0.000835294,0.000835294
102,3395.47,0.8596,0.45431,0.81517,0.85071,0.77313,0.83895,0.3759,1.76902,0.86475,1.03169,0.000823647,0.000823647,0.000823647
103,3428.61,0.84418,0.44236,0.81115,0.84311,0.78074,0.836,0.37445,1.77234,0.87362,1.03298,0.000812,0.000812,0.000812
104,3461.74,0.80969,0.42761,0.81001,0.85859,0.76952,0.83997,0.38389,1.76198,0.88712,1.0323,0.000800353,0.000800353,0.000800353
105,3494.94,0.83099,0.43178,0.81487,0.84482,0.78661,0.83642,0.37674,1.75238,0.86938,1.02551,0.000788706,0.000788706,0.000788706
106,3528.07,0.83041,0.43284,0.81124,0.84846,0.78771,0.84262,0.3824,1.75825,0.85601,1.02807,0.000777059,0.000777059,0.000777059
107,3561.22,0.86103,0.44058,0.8093,0.83449,0.77324,0.83897,0.37481,1.77428,0.86912,1.03347,0.000765412,0.000765412,0.000765412
108,3594.42,0.81428,0.42341,0.81037,0.85312,0.7744,0.84149,0.38359,1.75917,0.83985,1.02608,0.000753765,0.000753765,0.000753765
109,3627.56,0.83601,0.43664,0.81139,0.8652,0.7706,0.83866,0.38241,1.74977,0.85182,1.02827,0.000742118,0.000742118,0.000742118
110,3660.74,0.82205,0.43163,0.81028,0.84555,0.7782,0.83593,0.38029,1.76364,0.86514,1.03262,0.000730471,0.000730471,0.000730471
111,3694.36,0.84086,0.44363,0.81086,0.8926,0.76893,0.84698,0.37813,1.75764,0.86129,1.02589,0.000718824,0.000718824,0.000718824
112,3728.57,0.82089,0.42821,0.80938,0.84306,0.79848,0.83864,0.37372,1.75881,0.85476,1.02788,0.000707176,0.000707176,0.000707176
